Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
8937.4,2450.2,1582.5635,190.2778,34.8889,1570.262,208.6825,67.254,1112.0635,182.1587,402.0238,1839.5159,129.5159,91.7302,6827.9048,24.6905,615.4683
8786.6,2450.6,1442.5121,199.1717,0.1265,1047.8855,1413.5031,639.9699,1113.4307,469.8344,1005.0873,2485.6658,435.9548,977.6988,12112.1719,138.9608,3353.2861
8821.5,2450.6,2200.7507,272.2007,4.2136,3508.9192,1276.4175,128.9741,1216.767,486.9806,334.8802,6245.3594,437.1877,346.8835,11783.6348,129.8964,1436.0292
8914.9,2450.7,1191.6779,143.0571,1.3926,1171.4631,1018.3255,73.2383,1703.0403,311.651,224.7953,1260.0067,208.1946,507.2483,6576.936,91.453,981.0201
8920.7,2451,933.3879,111.8621,1.8448,2216.8276,1019,61.1121,6858.2153,348.2069,294.3276,2255.8794,123.2069,134.9569,5721.7588,66.319,396.7328
8903,2450.9,1586.0072,227.3759,2.6169,2638.0144,968.9952,105.188,1823.7952,462.7928,403.3759,2561.4385,386.1108,208.5904,14875.1201,116.294,1815.0626
8838.7,2451.6,1742.2534,189.8973,0.3767,2216.459,488.726,142.3356,1691.8699,455.274,315.5685,2154.7192,466.2192,73.3904,16485.2949,388.6781,2272.5959
8890.3,2451.8,876.2673,305.1701,655.809,659.3611,72.309,73.809,1091.5591,152.5104,254.2812,336.7986,86.8889,58.4792,3725.3472,69.3785,164.3958
8754.3,2452.7,886.0385,148.7436,0,1696.7565,303.859,2457.3845,3146.8975,832.9231,1660.8975,1098.2565,458.0898,303.0641,11535.667,160.3333,5525.1411
8733.3,2452.3,809.2136,74.9417,0,1217.2427,43.9515,101.2136,4275.3008,191.5825,471.9709,305.1165,133.5728,438.9806,5487.8643,65.1068,2117.9126
8872.1,2454.6,1474.9133,151.6209,5.3466,1662.6173,95.722,102.6065,1218.2058,263.4838,270.5921,1638.0397,344.0866,124.8953,14866,77.9928,1706.9711
8802.3,2454.9,1498.6993,195.6224,0.3147,1779.2098,976.6643,488.1888,1090.4126,424.5245,1044.6294,2137.3777,362.9161,49.3357,11445.5381,144.2028,3689.1189
8742.3,2455,1193.7667,158.0831,0,1068.5175,208.6247,1062.9705,1409.9088,438.6917,957.6783,893.7882,422.1957,86.0054,11829.5068,100.9491,3634.9705
8951.2,2454.3,1190.6332,153.2722,0.2604,2552.5149,324.2426,78.3491,1701.2959,390.9231,1514.7693,4616.0176,147.284,119.858,6764.0474,90.858,530.2485
8795.5,2454.4,1116.7333,170.9556,0,1971.2667,292.8,1368.5667,1070.7778,403.1667,1166.0555,1561.0222,433.6,47.8333,10396.8447,141.1,4628.6001
8827.8,2455.1,1620.9198,177.8984,4.893,3223.0161,567.9198,171.6952,1162.0267,380.9733,241.369,3879.4224,395.2192,59.016,8444.4385,103.1123,2098.4119
8769.2,2455,1467.2644,362.6897,1.2759,1305.3793,168.1379,2244.8276,1956.7816,467.1609,1025.9771,996.8046,386.2184,1020.6896,15899.6436,142.0575,4123.0459
8961.8,2454.8,1068.5892,193.6339,0.5714,2559.4285,149.4286,110.2857,1222.6339,509.4554,722.4911,5305.0981,262.8929,58.0089,9663.4111,111.8839,2210.5715
8864.6,2455.2,1062.4698,286.4036,447.5602,777.3795,109.2892,71.1988,1306.3193,198.1265,246.2831,440.8434,131.253,75.8133,4786.0542,61.9036,247.1325
8937,2455.4,1647.2233,177.1696,1.125,2761.6697,335.3214,89.0268,1443.9733,341.0982,268.3661,3383.384,344.625,80.6875,10150.9111,81.7411,903.6607
8761.9,2455.6,1556.3741,196.3163,0,1621.17,430.3163,2871.1462,2972.5544,674.2959,1066.8265,1255.2415,486.0884,3178.4897,11528.252,132.8775,3865.6157
8818.4,2455.8,2516.7083,301.8125,1.5625,3489.4792,1360.2709,160.4583,1514.625,603.2917,586.8958,5583.4165,465.2292,212.8333,7542.0835,116.125,2709.125
8923.9,2455.4,1337.6245,152.1392,0.3966,3015.8059,161.2954,78.1013,3043.1182,371.0506,268.8312,3468.3755,233.903,95.2321,13236.5947,81.076,703.8397
8857.6,2456.5,926.4379,234.646,223.1095,840.3905,182.8467,56.073,4216.668,160.6058,299.6205,491.3504,76.6314,59.9489,3814.6094,72.5109,363.9927
8944.2,2456.3,1705.1169,258.84,0.9015,1473.4369,369.8831,112.8708,1441.6985,393.9631,655.0246,1631.2584,335.5292,80.3508,13989.4922,110.0554,1714.0739
8840.9,2457.1,1814.8805,221.9937,1.0566,2326.1699,1829.8868,137.9182,1306.1887,445.2013,345.0943,4089.522,338.5849,77.4088,8979.8428,146.1824,2243.7422
8833.7,2457.4,1618.3315,200.6684,0.2674,3386.0481,729.0535,162.6898,1310.8235,477.5348,328.5615,4667.813,368.9358,67.9144,9633.834,117.2941,2073.5989
8956.6,2457.6,1282.9462,214.982,0.2934,2807.4551,123.6886,101,1368.6168,502.521,762.6287,3952.9043,265.2575,79.6647,11960.0596,106.8922,1804.4192
8813.7,2458.1,2098.3596,228.7355,0.7355,2821.3098,858.2355,171.7025,2382.033,501.4876,797.5289,3344.8389,478.9711,137.8099,10848.9668,117.2686,2594.9463
